"","Sample","Final Pb206/U238_mean","Final Pb206/U238_2SE(int)","Final Pb206/U238_NoOfPoints","Final Pb206/U238 age_mean","Final Pb206/U238 age_2SE(int)","Final Pb206/U238 age_NoOfPoints","Final Pb207/U235_mean","Final Pb207/U235_2SE(int)","Final Pb207/U235_NoOfPoints","Final Pb207/U235 age_mean","Final Pb207/U235 age_2SE(int)","Final Pb207/U235 age_NoOfPoints","Final Pb207/Pb206_mean","Final Pb207/Pb206_2SE(int)","Final Pb207/Pb206_NoOfPoints","Final Pb207/Pb206 age_mean","Final Pb207/Pb206 age_2SE(int)","Final Pb207/Pb206 age_NoOfPoints","Final U238/Pb206_mean","Final U238/Pb206_2SE(int)","Final U238/Pb206_NoOfPoints","Final U/Th_mean","Final U/Th_2SE(int)","Final U/Th_NoOfPoints","Approx_U_PPM_mean","Approx_U_PPM_2SE(int)","Approx_U_PPM_NoOfPoints","Approx_Th_PPM_mean","Approx_Th_PPM_2SE(int)","Approx_Th_PPM_NoOfPoints","Al27_ppm_mean","Al27_ppm_2SE(int)","Al27_ppm_NoOfPoints","Ca44_ppm_mean","Ca44_ppm_2SE(int)","Ca44_ppm_NoOfPoints","V51_ppm_mean","V51_ppm_2SE(int)","V51_ppm_NoOfPoints","Fe57_ppm_mean","Fe57_ppm_2SE(int)","Fe57_ppm_NoOfPoints","Nd146_ppm_mean","Nd146_ppm_2SE(int)","Nd146_ppm_NoOfPoints","Sm147_ppm_mean","Sm147_ppm_2SE(int)","Sm147_ppm_NoOfPoints","Dy163_ppm_mean","Dy163_ppm_2SE(int)","Dy163_ppm_NoOfPoints","Yb172_ppm_mean","Yb172_ppm_2SE(int)","Yb172_ppm_NoOfPoints","Pb204_ppm_mean","Pb204_ppm_2SE(int)","Pb204_ppm_NoOfPoints","Pb206_ppm_mean","Pb206_ppm_2SE(int)","Pb206_ppm_NoOfPoints","Pb207_ppm_mean","Pb207_ppm_2SE(int)","Pb207_ppm_NoOfPoints","Th232_ppm_mean","Th232_ppm_2SE(int)","Th232_ppm_NoOfPoints","U238_ppm_mean","U238_ppm_2SE(int)","U238_ppm_NoOfPoints","PbTotal_ppm_mean","PbTotal_ppm_2SE(int)","PbTotal_ppm_NoOfPoints","...74","rho 207Pb/206Pb v 238U/206Pb","rho 206Pb/238U v 207Pb/235U","session","session.num","Final Pb208/Th232_mean","Final Pb208/Th232_2SE(int)","Final Pb208/Th232_NoOfPoints","Final Pb208/Th232 age_mean","Final Pb208/Th232 age_2SE(int)","Final Pb208/Th232 age_NoOfPoints","Approx_Pb_PPM_mean","Approx_Pb_PPM_2SE(int)","Approx_Pb_PPM_NoOfPoints","Pb208_ppm_mean","Pb208_ppm_2SE(int)","Pb208_ppm_NoOfPoints","...86","U235_ppm_mean","U235_ppm_2SE(int)","U235_ppm_NoOfPoints","Li7_ppm_mean","Li7_ppm_2SE(int)","Li7_ppm_NoOfPoints","Na23_ppm_mean","Na23_ppm_2SE(int)","Na23_ppm_NoOfPoints","P31_ppm_mean","P31_ppm_2SE(int)","P31_ppm_NoOfPoints","Ca43_ppm_mean","Ca43_ppm_2SE(int)","Ca43_ppm_NoOfPoints","Sc45_ppm_mean","Sc45_ppm_2SE(int)","Sc45_ppm_NoOfPoints","Ti49_ppm_mean","Ti49_ppm_2SE(int)","Ti49_ppm_NoOfPoints","Mn55_ppm_mean","Mn55_ppm_2SE(int)","Mn55_ppm_NoOfPoints","Co59_ppm_mean","Co59_ppm_2SE(int)","Co59_ppm_NoOfPoints","Ni60_ppm_mean","Ni60_ppm_2SE(int)","Ni60_ppm_NoOfPoints","Rb85_ppm_mean","Rb85_ppm_2SE(int)","Rb85_ppm_NoOfPoints","Sr88_ppm_mean","Sr88_ppm_2SE(int)","Sr88_ppm_NoOfPoints","Y89_ppm_mean","Y89_ppm_2SE(int)","Y89_ppm_NoOfPoints","Zr90_ppm_mean","Zr90_ppm_2SE(int)","Zr90_ppm_NoOfPoints","Nb93_ppm_mean","Nb93_ppm_2SE(int)","Nb93_ppm_NoOfPoints","Sn118_ppm_mean","Sn118_ppm_2SE(int)","Sn118_ppm_NoOfPoints","Cs133_ppm_mean","Cs133_ppm_2SE(int)","Cs133_ppm_NoOfPoints","Ba137_ppm_mean","Ba137_ppm_2SE(int)","Ba137_ppm_NoOfPoints","La139_ppm_mean","La139_ppm_2SE(int)","La139_ppm_NoOfPoints","Ce140_ppm_mean","Ce140_ppm_2SE(int)","Ce140_ppm_NoOfPoints","Pr141_ppm_mean","Pr141_ppm_2SE(int)","Pr141_ppm_NoOfPoints","Eu153_ppm_mean","Eu153_ppm_2SE(int)","Eu153_ppm_NoOfPoints","Gd157_ppm_mean","Gd157_ppm_2SE(int)","Gd157_ppm_NoOfPoints","Tb159_ppm_mean","Tb159_ppm_2SE(int)","Tb159_ppm_NoOfPoints","Ho165_ppm_mean","Ho165_ppm_2SE(int)","Ho165_ppm_NoOfPoints","Er166_ppm_mean","Er166_ppm_2SE(int)","Er166_ppm_NoOfPoints","Tm169_ppm_mean","Tm169_ppm_2SE(int)","Tm169_ppm_NoOfPoints","Lu175_ppm_mean","Lu175_ppm_2SE(int)","Lu175_ppm_NoOfPoints","Hf180_ppm_mean","Hf180_ppm_2SE(int)","Hf180_ppm_NoOfPoints","W182_ppm_mean","W182_ppm_2SE(int)","W182_ppm_NoOfPoints","...170"
"1","G_NIST612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NIST612",0.231467176592859,0.00433667695702378,36,1341.83717691098,22.570096150347,36,28.880074289547,0.611594290571546,36,3447.63347581147,20.4232022182414,36,0.900535037063525,0.0119462995319812,36,4997.89305164936,0,1,4.32283836710915,0.0767974149707652,36,0.889356167010894,0.0179548774947395,36,27.6106261350025,2.07722548552392,36,31.2583542133342,2.10565966118248,36,4944.10711301203,93.7132242788401,36,37645.6807607589,562.805786018716,36,17.4663657078873,0.376826234999598,36,22.9220463473033,3.14418498554334,36,15.5335910382841,0.483957430475282,36,16.2533978750616,0.642979994708833,36,15.5440251434943,0.677998608498329,36,17.381236304001,0.487897515183058,36,16.8043541514465,1.21563994099665,36,16.9265623052075,0.360205754956415,36,16.8894344431603,0.290001469537089,36,16.4776894113445,0.369152101831051,36,16.5321397437697,0.387612620689879,36,16.8904519891606,0.306553877756748,36,NA,0.330460307519814,0.799100823560565,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NIST612",0.235542054493012,0.00679180177095226,36,1362.63484535825,35.2059548662437,36,29.0879633411817,0.784974325053637,36,3453.53317319887,26.0758856356924,36,0.897113836820882,0.0100381530619552,36,4962.64599457712,0,1,4.2652325231299,0.116405356118715,36,0.881709983300956,0.0163277457193998,36,29.1921544616981,2.02901841011422,36,32.9313733035275,2.20697646879702,36,4961.01921003454,93.2908157773379,36,37784.7736001282,669.039390252075,36,17.4438424434822,0.494754388790505,36,23.7303917553718,2.57156359506737,36,15.4814347313184,0.42359120084777,36,16.9343316620329,0.540744117605335,36,15.5665788495796,0.649309492274093,36,16.7992287147446,0.595446871849998,36,16.938472100663,1.03903288658106,36,17.142862281406,0.302382487467834,36,17.0499681028594,0.239914100600687,36,16.6524710382961,0.269315728501046,36,16.5536431225899,0.275858917712068,36,17.0936659528665,0.257528436811562,36,NA,0.246281810058856,0.919917915377249,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NIST612",0.23302783158657,0.00570224038762451,36,1358.371275445,33.9107043765008,36,29.4926737807026,0.647371214138464,36,3468.12853376333,20.9745080834113,36,0.913383498669063,0.0117981019901218,36,4982.31894217884,20.0713546811665,3,4.27807231882955,0.110745394405872,36,0.861824899518771,0.0158551986504733,36,30.7027943970681,2.18850396838541,36,35.3566278490842,2.1819291529314,36,4856.62866991853,68.7735124690822,36,37432.4691103908,513.163934997449,36,17.2373066585358,0.603600584031345,36,23.1787803421129,2.74898784941666,36,15.4844713494043,0.432028818164312,36,16.6002356234666,0.598891051287746,36,15.7066860662289,0.39607385905837,36,17.7477595595379,0.537678451053672,36,17.0412043444511,1.12721743166804,36,16.6721835870879,0.334436311013857,36,16.8773001481249,0.246455483253022,36,16.6025411749995,0.270599026622451,36,16.1201499416863,0.283339757483633,36,16.7831744187645,0.276751697401355,36,NA,0.540912362800541,0.874230595199185,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NIST612",0.230507170083004,0.00533712731266421,36,1336.62861616638,27.8756690554035,36,28.5012697722963,0.688547313807186,36,3434.18093212893,22.9535372287168,36,0.897671533490735,0.0134321098834097,36,4949.61364410433,29.563204018667,4,4.32275881463116,0.110313835486745,36,0.884426350956472,0.0124904196755661,36,33.608015077273,2.26164265402668,36,38.3911105224645,2.51802469585212,36,4902.29596173109,79.7595000600245,36,37246.9054487681,513.162808085789,36,16.9403973333976,0.421914205089249,36,21.4580514126015,2.3913485535843,36,15.6123983126662,0.385723333706607,36,15.9576963303153,0.65687080234308,36,15.4893497998134,0.600400372908895,36,16.7459566288647,0.595554555926564,36,16.3445876754321,0.944468789020134,36,17.0250928019424,0.318775701241865,36,16.9528099052894,0.32037172961294,36,16.6350311078465,0.254364381185645,36,16.5137530188839,0.29853343951068,36,16.9804391457132,0.298040605889108,36,NA,0.19380073987152,0.860113026173701,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NIST612",0.233975452122422,0.00551811815237601,36,1354.7410343755,28.6648564961183,36,29.0263121871229,0.65511604253745,36,3452.35932560959,21.6435223785441,36,0.89986583569919,0.0116616392799841,36,4933.89208242923,30.0792625955446,2,4.28476387692607,0.0962317348513396,36,0.885957240501651,0.0141325448919124,36,32.2107053874446,2.40244816575422,36,36.079374058284,2.52486807326552,36,4906.21546628353,75.6730600902527,36,37433.6454707008,375.74649970746,36,16.9486348130365,0.42675688373833,36,22.8160577001826,2.65154938585317,36,16.0027157746728,0.572477868974142,36,16.6394298428232,0.578173355478145,36,15.4312617009254,0.466078289744002,36,17.2691160120511,0.459144098612332,36,16.7988485264755,1.19963751226555,36,16.9824950779505,0.253435808875294,36,17.0367009306447,0.243595130628651,36,16.6335736677032,0.244483696511303,36,16.3886385182972,0.250129494705597,36,17.0487679435917,0.246271185849955,36,NA,0.303619066735834,0.829986835492264,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NIST612",0.234796043176722,0.00624031457162647,36,1358.86470512251,32.6193756508527,36,28.943112592752,0.724272378621808,36,3448.98161964711,24.6578569459236,36,0.89398581448557,0.0139062211364009,36,4976.78438365285,33.5302603090745,4,4.27742642298296,0.116821285379738,36,0.893539639713034,0.021102265131003,36,30.3254908909965,2.22426976611173,36,33.5215499527039,2.23883687124272,36,4894.35353067042,96.9804556489755,36,37074.4981068577,635.739598930209,36,16.4754103526663,0.50224151133769,36,22.5524885490025,3.15020249685562,36,15.744697681896,0.583323749194934,36,16.5479432742728,0.669049635879903,36,15.6948832283972,0.555041574155497,36,17.011898182048,0.705600045327681,36,17.3187803744786,1.32203940444511,36,16.8307096411101,0.32569725487779,36,16.8043324582792,0.317136651206632,36,16.5491018270178,0.415810374251601,36,16.3035452254007,0.349625787317743,36,16.8014339040527,0.289041469540104,36,NA,0.325307130580607,0.812873246424071,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NIST612",0.231196140981224,0.00711061299704765,36,1339.83066340993,37.0416811048175,36,28.5859320901769,0.766815353531051,36,3436.45328486836,26.1217698948517,36,0.894731800395466,0.0121767629102024,36,4984.4455769153,9.31499125071526,4,4.3523816319721,0.128755555247243,36,0.923615685410136,0.0146370154661174,36,29.8085109986898,1.97330293168747,36,32.7996729148091,2.17069867098467,36,4896.47062734404,63.1472087327694,36,36967.2692965017,526.243398102025,36,17.098028635142,0.44934501130493,36,20.7397461359627,2.82650864963111,36,15.2346076948695,0.498194405893446,36,16.2646085333605,0.492908081289398,36,15.3159578985476,0.507944569585567,36,17.2957190362906,0.561899419303031,36,16.9108515983145,1.06244491533737,36,17.0203953257474,0.294054542709504,36,16.9185983051928,0.245815215693751,36,16.5229239337396,0.264961124816416,36,16.4994493130834,0.311910782590806,36,16.984179698663,0.245571801786038,36,NA,0.412333089819376,0.894284488002589,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NIST612",0.229088650370141,0.00673935014296287,36,1328.880366748,35.1169654921914,36,28.7506328014249,0.737926868283877,36,3442.41122284664,24.4914564507677,36,0.906872638820404,0.0129191358957337,36,4991.36168922009,13.9040125186566,2,4.39028429343698,0.122132366605496,36,0.943150968520295,0.0143364378723362,36,29.1382205981429,1.98269464605609,36,30.7591903004311,2.04412025815104,36,4897.88957830794,83.7729779642744,36,36869.5762748676,400.093938460179,36,16.6578802454301,0.489753689489409,36,23.0771708595841,2.66751383643947,36,15.6772395770668,0.42108199036318,36,16.9507123529526,0.490553665471753,36,15.7410239962234,0.530621099398066,36,17.115317074014,0.616627283586746,36,16.5042589309947,1.22682196258286,36,16.6922602907948,0.297676679366241,36,16.8288986281263,0.240532538168804,36,16.5227086645735,0.269156939125427,36,16.4121213290334,0.278490885349476,36,16.7765842977132,0.246828077285047,36,NA,0.438940850549271,0.870380696896019,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NIST612",0.229476820836988,0.00596418486940566,36,1331.09510612923,31.1920944194902,36,28.7638598831923,0.641633663291696,36,3443.46300792333,21.6317730269948,36,0.906214047896112,0.0123904546722064,36,4962.44549431098,0,1,4.37608690271697,0.112125472319189,36,0.964133990332659,0.016160708809671,36,27.3002364662641,1.99682381635495,36,28.1499928268438,1.83927129068227,36,4909.70526328375,78.5924632539063,36,37463.9954903543,539.507537521839,36,17.0515203668366,0.411200881666422,36,21.707865916232,2.60646579490257,36,15.5374777229895,0.457865639338039,36,16.4856203858229,0.44526973517516,36,15.8311770650313,0.511365521767539,36,17.045622991287,0.607828845821026,36,17.3750508378919,0.965613985078838,36,17.0043367232991,0.319885708866544,36,17.0566500522128,0.293269429213977,36,16.6272635511795,0.290145986341389,36,16.7200881599796,0.349243101857167,36,17.0029380663038,0.266343633985237,36,NA,0.464127371795164,0.860198490499408,"Feb28.2023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
