Sample,Pb207/U235_mean,Pb207/U235_mean _2SE,Pb206/U238_mean,Pb206/U238_mean_2SE,Rho 206/238 v 207/235,Pb207/Pb206_age_mean
RB22AS2-1-15-1,2.724991049,0.154531511,0.180275845,0.008959207,0.946577219,1682.553146
RB22AS2-1-1-1,1.154482307,0.033073205,0.078998282,0.002035864,0.87237833,1628.38653
RB22AS2-1-1-2,0.540329677,0.022247092,0.037693827,0.001561015,0.949823454,1577.628177
RB22AS2-1-1-3,1.580481016,0.096909509,0.108266804,0.006486638,0.985617845,1629.878023
RB22AS2-1-1-4,0.64368652,0.027102081,0.045426575,0.001644245,0.961679087,1576.32881
RB22AS2-1-1-5,1.257111259,0.065216229,0.086722446,0.004293552,0.954340421,1630.904093
RB22AS2-1-3-1,0.741400894,0.089453653,0.05967353,0.006035119,0.914418413,1319.135288
RB22AS2-1-3-2,0.578393335,0.091408976,0.047987789,0.005007637,0.924711251,1153.582957
RB22AS2-1-3-3,1.992387322,0.052115748,0.183303506,0.00377172,0.531773131,1062.926307
RB22AS2-1-3-4,0.965642361,0.087743919,0.083284713,0.005350207,0.900693713,1154.07244
RB22AS2-1-3-5,1.946623965,0.044234317,0.176446521,0.002871502,0.799498513,1104.454505
RB22AS2-1-3-6,1.968417185,0.042857098,0.179845839,0.003350389,0.624291627,1085.287685
RB22AS2-1-3-7,0.841160154,0.046383621,0.070007709,0.003622879,0.810400201,1225.197343
RB22AS2-1-2-1,4.059668312,0.110591153,0.275142874,0.00845325,0.882012298,1681.111387
RB22AS2-1-2-2,3.365760128,0.109276797,0.225383735,0.007418784,0.897767318,1700.985746
RB22AS2-1-2-3,4.250123323,0.072837004,0.288393163,0.006522737,0.685068353,1678.775442
RB22AS2-1-2-4,3.276585167,0.105716933,0.223624859,0.007541252,0.892725279,1674.148421
RB22AS2-1-9-1,2.469368298,0.074805345,0.192193018,0.005771826,0.702916354,1406.121013
RB22AS2-1-9-2,2.80346414,0.164701775,0.210747131,0.006917668,0.85801749,1408.691449
RB22AS2-1-9-3,2.84749083,0.13836742,0.202300292,0.006540212,-0.013774567,1482.677138
RB22AS2-1-9-4,0.991014564,0.044500363,0.078190927,0.002467609,0.874483393,1403.041674
RB22AS2-1-8-1,0.065532823,0.005039011,0.006260585,0.000121546,0.708306156,1022.887071
RB22AS2-1-8-2,0.084484185,0.008747265,0.006597137,0.00025587,0.468548353,1319.074193
RB22AS2-1-8-3,0.199541764,0.026923304,0.008103221,0.000332718,0.825409441,2494.536437
RB22AS2-1-8-4,0.068048249,0.010775323,0.00590658,0.000121847,0.268224981,1169.577002
RB22AS2-1-7-1,0.565684073,0.058059817,0.040578179,0.00375503,0.977671732,1591.369568
RB22AS2-1-7-2,2.401413353,0.125667309,0.162880992,0.00845818,0.982344819,1693.51986
RB22AS2-1-7-3,2.116567175,0.129860743,0.145699165,0.008831329,0.97344906,1671.645219
RB22AS2-1-7-4,1.495161206,0.168675583,0.10251051,0.01085577,0.993052452,1668.166998
RB22AS2-1-7-5,2.21566923,0.118602607,0.156313511,0.008602277,0.879874954,1644.697144
RB22AS2-1-5-1,4.121993366,0.15418608,0.276803455,0.010142458,0.927694636,1716.600368
RB22AS2-1-5-2,4.2685223,0.074172013,0.289230485,0.003600635,0.825336285,1696.591638
RB22AS2-1-5-3,4.222870706,0.100883169,0.286087401,0.005249305,0.821698071,1698.066606
RB22AS2-1-6-1,0.911958175,0.0838378,0.086369578,0.007385956,0.98251167,1050.82917
RB22AS2-1-6-2,0.547764636,0.040416261,0.049010531,0.003166216,0.920624185,1117.070763
RB22AS2-1-6-3,0.677762682,0.022206035,0.062717148,0.002031993,0.818809982,1097.56076
RB22AS2-1-6-4,0.848136599,0.043142663,0.080649043,0.003928123,0.932040552,1044.5798
RB22AS2-1-6-5,0.920893803,0.03550316,0.084823719,0.002858552,0.911355738,1112.390199
RB22AS2-1-11-1,0.538479869,0.065664458,0.037977761,0.004400858,0.912828531,1565.356301
RB22AS2-1-11-2,0.343181512,0.038274178,0.025877121,0.002397206,0.987653579,1471.673219
RB22AS2-1-11-3,0.311341224,0.052323352,0.020938001,0.001885622,0.88533766,1537.309499
RB22AS2-1-11-4,0.309569935,0.028180348,0.023157305,0.001904804,0.941026416,1518.898076
RB22AS2-1-11-5,0.354391427,0.016503624,0.027094192,0.000992732,0.906787556,1469.114856
RB22AS2-1-11-6,0.194961853,0.008920793,0.014820723,0.000623995,0.265068178,1453.120316
RB22AS2-1-12-1,0.586892023,0.072040807,0.04163965,0.004891726,0.969152017,1568.808652
RB22AS2-1-12-2,3.168480558,0.067415017,0.218375336,0.004633653,0.724451752,1672.242093
RB22AS2-1-12-3,3.824019386,0.074356211,0.260690646,0.004228731,0.789108256,1694.512837
RB22AS2-1-12-4,0.818711861,0.114003893,0.058166785,0.008359767,0.920993132,1599.06782
RB22AS2-1-13-1,1.226130667,0.06807738,0.097242045,0.00439029,0.945917629,1378.309523
RB22AS2-1-13-2,1.899882504,0.076872873,0.154192699,0.006359347,0.944730695,1357.241232
RB22AS2-1-13-3,2.679415384,0.054865028,0.216660869,0.004149653,0.693296895,1368.128395
RB22AS2-1-13-4,2.793951247,0.06508522,0.224021259,0.003364819,0.523618814,1362.667217
RB22AS2-1-13-5,2.340039852,0.036834596,0.186259788,0.003483172,0.842821346,1392.654515
RB22AS2-1-13-6,2.102555223,0.040611513,0.168121914,0.001889315,0.607383325,1371.968851
RB22AS2-1-13-7,2.086498024,0.048728722,0.166324675,0.002627835,0.675337619,1378.865764
RB22AS2-1-14-1,0.275811925,0.015258009,0.021801523,0.001075309,0.869321334,1404.98223
RB22AS2-1-14-2,1.538318597,0.067762886,0.121798719,0.005911185,0.927747311,1425.639988
RB22AS2-1-14-3,1.690217242,0.078930815,0.129497568,0.004775665,0.767848788,1442.72093
RB22AS2-1-14-4,2.362378949,0.088309183,0.188783465,0.007498596,0.933567635,1409.246939
RB22AS2-6-1-1,2.919346464,0.136848007,0.192100384,0.006596851,0.931393784,1733.597793
RB22AS2-6-1-2,3.153122763,0.139397737,0.208949565,0.007816654,0.936883985,1721.345874
RB22AS2-6-1-3,3.663094975,0.071981344,0.243532314,0.004142092,0.834734483,1728.923056
RB22AS2-6-2-1,3.27684577,0.121436834,0.215430898,0.007178736,0.463346109,1719.370102
RB22AS2-6-2-2,2.865971076,0.083070445,0.18876412,0.004724013,0.80608421,1738.680993
RB22AS2-6-2-3,3.711963372,0.103558695,0.245945112,0.006345277,0.887204488,1743.498931
RB22AS2-6-3-1,2.493100711,0.044808999,0.197703109,0.003123585,0.712361989,1420.863227
RB22AS2-6-3-2,1.34924866,0.100173655,0.101810306,0.006835151,0.918249043,1513.956369
RB22AS2-6-4-1,0.392928611,0.020850613,0.035061972,0.001854559,0.12589451,1060.323676
RB22AS2-6-4-2,1.960167528,0.057295679,0.182570039,0.003871838,0.682280167,1113.649314
RB22AS2-6-4-3,1.894762176,0.051783481,0.177202558,0.003424752,0.760499265,1097.446018
RB22AS2-6-4-4,1.970596065,0.126061784,0.173822985,0.005700418,0.813084153,1207.656467
RB22AS2-6-4-5,1.55972453,0.106742096,0.143356312,0.003193517,0.719501991,996.3276885
RB22AS2-6-8-1,2.280623692,0.072305849,0.197055355,0.006240166,0.607617035,1296.183533
RB22AS2-6-7-1,0.252218576,0.015431266,0.017975164,0.001340255,0.716265119,1645.428326
RB22AS2-6-7-2,0.325488335,0.038903808,0.018066462,0.002331005,0.395448885,2049.292259
RB22AS2-6-7-3,1.34130401,0.16901631,0.087035775,0.004878022,0.748240876,1576.039118
RB22AS2-6-6-1,3.765251173,0.102892243,0.260959436,0.005885965,0.796611437,1690.175281
RB22AS2-6-6-2,2.414461333,0.076334048,0.169894009,0.004476225,0.940564462,1664.997901
RB22AS2-6-6-3,3.828809128,0.108046112,0.271103995,0.007432717,0.728774275,1658.105233
RB22AS2-6-6-4,2.373015138,0.153486781,0.162635417,0.004727585,0.673891056,1645.901744
RB22AS2-6-10-1,1.937727769,0.109315254,0.159504862,0.007617413,0.944398959,1381.627017
RB22AS2-6-10-2,2.295720336,0.061322766,0.19050558,0.004885556,0.63980496,1357.97115
RB22AS2-6-10-3,3.272126411,0.090037409,0.260618943,0.006129721,0.18037167,1433.098046
RB22AS2-6-12-1,0.930143783,0.050354229,0.06632115,0.003493111,0.950051179,1636.339545
RB22AS2-6-12-2,1.237797492,0.097933213,0.089381228,0.006981235,0.985652269,1625.573184
RB22AS2-6-12-3,1.719740278,0.127431097,0.124652561,0.008626069,0.980502683,1627.677631
RB22AS2-6-11-1,0.138464413,0.019129968,0.011552642,0.001298412,0.956068449,1267.989341
RB22AS2-6-11-2,0.09216031,0.016497566,0.008603363,0.001045779,0.965820276,948.291069
RB22AS2-6-11-3,0.064383282,0.008062185,0.006818256,0.000387936,0.891132272,786.1661218
RB22AS2-6-11-4,0.055015764,0.002573271,0.006552826,0.00018213,0.53260409,626.1603303
RB22AS2-6-9-1,1.802546131,0.044313478,0.174954803,0.003409371,0.856056064,1056.264672
RB22AS2-6-9-2,1.901202662,0.047149328,0.182455765,0.003546501,0.60726334,1086.492872
RB22AS2-6-9-3,1.607668114,0.041103496,0.155201995,0.00313584,0.789077274,1082.051826
RB22AS2-6-5-1,2.851150705,0.076484942,0.232789802,0.006512213,0.702518875,1409.869818
RB22AS2-6-5-2,2.800618809,0.090673313,0.22183204,0.006294702,0.64250689,1479.898722
RB22AS2-6-5-3,0.789477622,0.04930208,0.06360281,0.00367579,0.949034236,1426.426732
RB22AS2-6-5-4,2.538839314,0.0973599,0.208046137,0.005566555,0.662568734,1415.617102
RB22AS2-5-10-1,0.509855012,0.017124975,0.038607971,0.00191018,0.88693249,1584.622345
RB22AS2-5-10-2,1.002108364,0.070769291,0.082667084,0.005588678,0.943933056,1396.501828
RB22AS2-5-10-3,2.487178271,0.072731385,0.206799183,0.00519314,0.622138429,1368.140893
RB22AS2-5-1-1,1.676034987,0.031139096,0.162370381,0.00302465,0.665783573,1092.88012
RB22AS2-5-1-2,1.664474342,0.048286793,0.163169404,0.005081924,0.777892152,1064.173837
RB22AS2-5-1-3,1.769419597,0.035633255,0.172889648,0.003434928,0.726247519,1069.685577
RB22AS2-5-1-4,1.820071915,0.036202115,0.176863091,0.002255557,0.419906185,1078.981015
RB22AS2-5-1-5,1.850484077,0.045557793,0.184482766,0.003325835,0.681257604,1022.166494
