Sample,Pb207/U235_mean,Pb207/U235_mean _2SE,Pb206/U238_mean,Pb206/U238_mean_2SE,Rho 206/238 v 207/235,Pb207/Pb206_age_mean
RB22AS2-1-15-1,2.559267047,0.140562684,0.179460974,0.008908892,0.9405802,1682.553146
RB22AS2-1-1-1,1.087742948,0.03294699,0.078591666,0.002029742,0.932406746,1628.38653
RB22AS2-1-1-2,0.504748363,0.021952872,0.037480439,0.001556171,0.977996076,1577.628177
RB22AS2-1-1-3,1.489619428,0.089276714,0.107641552,0.006443814,0.988838483,1629.878023
RB22AS2-1-1-4,0.607426777,0.02349465,0.045147345,0.001629454,0.960987525,1576.32881
RB22AS2-1-1-5,1.193947121,0.061429066,0.086171313,0.004269047,0.96230815,1630.904093
RB22AS2-1-3-1,0.700145485,0.090274041,0.059127346,0.00599339,0.923366815,1319.135288
RB22AS2-1-3-2,0.515299936,0.060306845,0.047491219,0.004932916,0.95784631,1153.582957
RB22AS2-1-3-3,1.874865851,0.04586859,0.181560998,0.003724409,0.503221082,1062.926307
RB22AS2-1-3-4,0.899436509,0.072201931,0.082457907,0.005286862,0.943283391,1154.07244
RB22AS2-1-3-5,1.842234162,0.043613948,0.174725472,0.002848787,0.790930566,1104.454505
RB22AS2-1-3-6,1.858477849,0.038684547,0.178046556,0.003314248,0.620983094,1085.287685
RB22AS2-1-3-7,0.78049278,0.047298085,0.069275094,0.00359809,0.89362804,1225.197343
RB22AS2-1-2-1,3.874245032,0.119712676,0.272288364,0.008382323,0.892449581,1681.111387
RB22AS2-1-2-2,3.205285293,0.095298928,0.223033626,0.007324417,0.905091667,1700.985746
RB22AS2-1-2-3,4.051909763,0.066548646,0.285408973,0.006446935,0.7001599,1678.775442
RB22AS2-1-2-4,3.138275665,0.107932522,0.221356611,0.007468099,0.892084852,1674.148421
RB22AS2-1-9-1,2.338065735,0.055594335,0.190448265,0.005705858,0.830746884,1406.121013
RB22AS2-1-9-2,2.567042815,0.063901497,0.208720161,0.006742492,0.84118689,1408.691449
RB22AS2-1-9-3,2.57354604,0.140634539,0.200382074,0.006604365,0.743047582,1482.677138
RB22AS2-1-9-4,0.954449088,0.040116784,0.077572927,0.002442928,0.85036056,1403.041674
RB22AS2-1-8-1,0.062955456,0.00487339,0.006212336,0.00012073,0.710471822,1022.887071
RB22AS2-1-8-2,0.079613995,0.008881463,0.006544369,0.000255938,0.556195671,1319.074193
RB22AS2-1-8-3,0.191921877,0.025289271,0.008045828,0.000329894,0.823214512,2494.536437
RB22AS2-1-8-4,0.065449991,0.010101534,0.005866447,0.000120971,0.268217672,1169.577002
RB22AS2-1-7-1,0.549667346,0.056564232,0.040386817,0.003736714,0.979871007,1591.369568
RB22AS2-1-7-2,2.322700358,0.12182393,0.16211114,0.008414396,0.981751558,1693.51986
RB22AS2-1-7-3,2.054688167,0.128124632,0.145070312,0.008798661,0.982853207,1671.645219
RB22AS2-1-7-4,1.444694777,0.160386055,0.102068793,0.010800211,0.993829645,1668.166998
