Sample,Spot,Iolite File,Pb207/U235_mean,Pb207/U235_mean _2SE,Pb206/U238_mean,Pb206/U238_mean_2SE,Rho 206/238 v 207/235,Pb207/Pb206_age_mean,PercMetamorphicRim,CrackAmount,PercInternRecrystMottled,%_Discordance,%_Discordance__2SE,Final_Pb206U238_age,Final_Pb206U238_age__2SE,Final_Pb207U235_age,Final_Pb207U235_age__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,Final_Pb207Pb206_age__2SE,Final_U238Pb206,Final_U238Pb206__2SE,Final_UTh,Final_UTh__2SE,Approx_U,Approx_U__2SE,Approx_Th,Approx_Th__2SE,Li,Li__2SE,Na,Na__2SE,Al,Al__2SE,P3,P3__2SE,Ca,Ca__2SE,Ca,Ca__2SE,Sc,Sc__2SE,Ti,Ti__2SE,V,V__2SE,Mn,Mn__2SE,Fe,Fe__2SE,Co,Co__2SE,Ni,Ni__2SE,Rb,Rb__2SE,Sr,Sr__2SE,Y,Y__2SE,Zr,Zr__2SE,Nb,Nb__2SE,Sn,Sn__2SE,Cs,Cs__2SE,Ba,Ba__2SE,La,La__2SE,Ce,Ce__2SE,Pr,Pr__2SE,Nd,Nd__2SE,Sm,Sm__2SE,Eu,Eu__2SE,Gd,Gd__2SE,Tb,Tb__2SE,Dy,Dy__2SE,Ho,Ho__2SE,Er,Er__2SE,Tm,Tm__2SE,Yb,Yb__2SE,Lu,Lu__2SE,Hf,Hf__2SE,W1,W1__2SE,Pb204,Pb204__2SE,Pb206,Pb206__2SE,Pb207,Pb207__2SE,Th,Th__2SE,U235,U235__2SE,U,U238__2SE
2,RB22AS2-1-8-3,AS_Sample_2_Fall22,0.190817304,0.025128907,0.008051621,0.000324876,0.817376826,2485.751182,0,0,100,97.86393451,0.153401862,51.69423555,2.077281417,175.9818749,21.28717346,0.169350664,0.017023627,181.7920887,125.0965251,4.929741879,52.39192953,4.32722442,0.185713381,0.024180425,0.003812334,0.000685439,,,,,26898.36288,3944.791437,,,,,1036.921793,572.2857708,,,,,72.24193954,12.61181743,,,30907.17076,4688.344311,,,,,,,,,,,,,,,,,,,,,,,,,,,31.33599562,10.03878095,24.42425828,5.68220171,,,,,,,274.7948985,49.93689726,,,,,,,1108.445231,120.9954027,,,,,,,7.527684642,2.411316419,60.14183129,2.877081307,11.10996848,0.880302371,106.6054736,16.07479654,,,1637.473268,136.9001871
2,RB22AS2-1-8-2,AS_Sample_2_Fall22,0.078394388,0.008988645,0.006510778,0.000277863,0.591432209,1308.94006,0,0,100,96.43662303,0.513152002,41.83383697,1.779598739,76.44995258,8.433853998,0.087420244,0.008440477,186.8287041,154.716168,6.648503166,32.6825263,5.24731382,0.488702273,0.067860367,0.018244813,0.004407985,,,,,5522.599746,1662.479296,,,,,331.222701,81.84513009,,,,,17.7839471,3.316764472,,,4836.465595,1689.063815,,,,,,,,,,,,,,,,,,,,,,,,,,,554.7170565,180.4528316,605.710239,196.3388944,,,,,,,5827.487667,1860.475141,,,,,,,9292.484281,2624.835921,,,,,,,3.172204118,1.796947324,103.5945785,10.45369796,9.979332704,1.367334006,444.3114149,106.0736666,,,3733.655195,497.8757829
2,RB22AS2-1-8-1,AS_Sample_2_Fall22,0.062503748,0.004892243,0.006209247,0.000121665,0.720237882,1012.310255,0,0,100,95.61734758,0.509204392,39.90327637,0.77946271,61.48362399,4.640544652,0.072990461,0.004640705,135.0807745,161.1259173,3.169958752,58.65562816,4.360728668,0.255149872,0.014255145,0.004522813,0.000406397,,,,,3475.24364,867.7708388,,,,,574.8911003,414.4795864,,,,,8.208799708,2.292276734,,,2268.636117,765.3287574,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13352386,3.783534158,24.62426781,4.376440918,,,,,,,316.4848416,41.79983557,,,,,,,1488.956994,90.51942834,,,,,,,2.679668181,1.193586015,66.95657532,1.729259496,5.532709648,0.381418449,131.6897852,11.88777407,,,2312.97858,90.5771475
2,RB22AS2-1-8-4,AS_Sample_2_Fall22,0.065054739,0.009972338,0.005869797,0.000120897,0.222217968,1159.165754,0,0,75,95.60520832,0.91142819,37.72826705,0.774813042,63.75606115,9.372124496,0.086028165,0.016097931,293.3231927,170.3629059,3.540722237,53.44511592,4.821576118,0.301560633,0.026022264,0.006063822,0.000916213,,,,,3604.990474,1354.559061,,,,,225.9423774,85.98517174,,,,,4.663755034,1.383283828,,,1508.213849,587.3923616,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4483284,3.869282495,27.30715686,4.439487358,,,,,,,339.0989082,49.42153367,,,,,,,1556.088177,129.1872429,,,,,,,2.25068662,1.463317673,65.77323414,2.962414908,5.784077373,0.642870433,152.9583922,19.94298149,,,2411.104945,145.254495
2,RB22AS2-5-17-2,AS_Sample_2_Fall22,2.291892033,0.106314969,0.1884377,0.005121342,0.860853509,1422.308225,0,0,50,21.59358565,2.463701475,1112.742071,27.73046587,1208.375228,32.11190544,0.089993882,0.002363158,49.30417263,5.31099663,0.141603567,4.81066072,0.289572609,0.018860735,0.000865697,0.003947566,0.000247362,,,,,42.60761769,23.86336478,,,,,23.27491887,26.81879174,,,,,0.797716286,0.427720154,,,8.425018301,4.853366823,,,,,,,,,,,,,,,,,,,,,,,,,,,4.154747758,0.789630916,9.706934271,1.507833622,,,,,,,118.9392823,7.876802074,,,,,,,283.4793645,20.86664649,,,,,,,-0.179566867,0.774707719,105.1440311,8.892713444,10.57034741,0.964713543,85.3626986,8.09839276,,,129.8064388,8.71406349
2,RB22AS2-5-17-3,AS_Sample_2_Fall22,2.446930279,0.060801678,0.197745851,0.004036042,0.695543446,1440.761359,0,0,0,19.01527797,2.653028883,1163.025726,21.72219804,1255.757447,18.13656628,0.090856818,0.001687059,35.67931873,5.061908769,0.103704455,3.657848505,0.082310688,0.022490715,0.002152116,0.006171931,0.000653704,,,,,1154.58783,160.8400549,,,,,42.92865945,20.12012866,,,,,2.847493524,0.339949836,,,666.6506909,92.28294211,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22570207,0.908203906,16.42229486,1.292673879,,,,,,,223.6588606,11.97310758,,,,,,,511.1892271,24.34183494,,,,,,,0.132828718,1.146154184,194.4315169,10.257334,19.73340252,1.090533164,179.8149173,10.62007629,,,208.8350167,9.309242781
2,RB22AS2-6-5-2,AS_Sample_2_Fall22,2.837744966,0.104004995,0.221572997,0.006456731,0.67479668,1471.567793,0,0,0,11.78378658,4.363515614,1289.794851,34.32153209,1363.89463,28.7459489,0.092437438,0.002559552,53.48231233,4.534591151,0.14492337,4.238297764,0.362929053,0.012959032,0.001125902,0.003175252,0.000518935,,,,,3.051203285,1.800101659,,,,,41.96906194,18.58621625,,,,,0.441289405,0.120785642,,,9.46139869,4.298420579,,,,,,,,,,,,,,,,,,,,,,,,,,,3.753761404,1.165981335,6.481362096,1.425016999,,,,,,,93.30062906,16.48600034,,,,,,,234.7304356,31.87194934,,,,,,,-0.416066329,0.811980037,100.9501964,13.95007994,10.36068716,1.43293971,79.33421014,15.17161344,,,102.5349661,11.90630071
2,RB22AS2-5-17-1,AS_Sample_2_Fall22,2.794536926,0.071383365,0.22601259,0.005366068,0.823804229,1446.984928,0,0,75,8.885052577,2.937201903,1313.024194,28.32066912,1352.446901,19.63213944,0.091166181,0.001325213,27.8852791,4.441650635,0.111029969,5.703107902,0.147365785,0.012354657,0.000941425,0.002220859,0.000177781,,,,,11.64241359,5.782689305,,,,,56.8310314,37.01166535,,,,,0.239571269,0.074788357,,,21.85892361,6.079234861,,,,,,,,,,,,,,,,,,,,,,,,,,,1.488248388,0.302723875,2.963154154,0.375195419,,,,,,,60.26888462,4.526160383,,,,,,,213.7472985,10.26683358,,,,,,,0.102958886,0.646827398,100.8768251,2.236950736,10.37112061,0.335924905,53.97026406,2.30079054,,,98.04397141,4.254743681
2,RB22AS2-1-2-1,AS_Sample_2_Fall22,3.855708605,0.12033123,0.272582919,0.0086355,0.892473586,1671.353364,0,0,100,6.898287009,3.259827272,1552.9403,43.54968578,1602.439223,25.13438066,0.102705195,0.00142139,25.16666665,3.684720946,0.112738404,13.6762068,2.585992703,0.030641917,0.002199352,0.002688837,0.000406971,,,,,37.79127931,18.8822795,,,,,66.96452549,21.28231749,,,,,0.164036577,0.060185874,,,33.16450453,15.97822545,,,,,,,,,,,,,,,,,,,,,,,,,,,3.658013365,1.13704949,6.728281509,2.037182586,,,,,,,113.1662509,29.82638029,,,,,,,338.3463222,66.20973776,,,,,,,-0.240061364,0.632640779,319.4783143,29.1440813,36.44528961,3.226642326,67.82660577,7.554862336,,,255.2808105,26.73755401
2,RB22AS2-6-7-1,AS_Sample_2_Fall22,0.249010244,0.0152409,0.018024675,0.001349676,0.731812735,1636.823461,0,1,50,92.69628327,0.805160484,115.1187835,8.529617089,225.228996,12.30334457,0.101973623,0.005451298,95.65424729,57.2700586,3.719170654,11.90884208,0.635174531,0.198360511,0.019524471,0.017535982,0.00255516,,,,,1804.387568,601.2369784,,,,,657.0367687,292.3474614,,,,,3.739557861,0.463818669,,,2290.096707,769.4311294,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3539654,29.88329345,178.7055499,43.61799226,,,,,,,1712.354018,414.9240336,,,,,,,2709.010022,536.7152835,,,,,,,3.949957051,1.629909667,145.6621633,6.298928665,16.52452034,1.252279896,499.8193866,67.55086542,,,1820.603304,162.216012
