Samples,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),rho 206Pb/238U v 207Pb/235U,Final Pb207/Pb206 age_mean
RB22AS2-1-15-1,2.531627183,0.139462762,0.17919192,0.008838467,0.940088466,1672.544467
RB22AS2-1-1-1,1.073851513,0.032668907,0.078525901,0.002092931,0.937026381,1618.326513
RB22AS2-1-1-2,0.497228978,0.022665136,0.037358545,0.00159561,0.97893269,1567.511307
RB22AS2-1-1-3,1.474807162,0.087330661,0.107551125,0.006392631,0.987909733,1619.840217
RB22AS2-1-1-4,0.60090056,0.022466452,0.045105887,0.001574768,0.957824979,1566.229939
RB22AS2-1-1-5,1.183290016,0.061708111,0.086274875,0.004282806,0.961529394,1620.88484
RB22AS2-1-3-1,0.689749267,0.091277955,0.059030168,0.006125994,0.926383072,1308.752073
RB22AS2-1-3-2,0.501008538,0.055398631,0.046869087,0.004587829,0.953151147,1142.961787
RB22AS2-1-3-3,1.858123023,0.044113118,0.181141613,0.003586426,0.464545809,1052.175733
RB22AS2-1-3-4,0.886663386,0.068270568,0.082147118,0.005177946,0.939832682,1143.471087
RB22AS2-1-3-5,1.830752554,0.045406585,0.174670118,0.002919485,0.806884387,1093.792334
RB22AS2-1-3-6,1.844047706,0.037616903,0.177776116,0.003283066,0.618570029,1074.604412
RB22AS2-1-3-7,0.770695744,0.048736566,0.068966558,0.003725135,0.902329633,1214.734677
RB22AS2-1-2-1,3.855708605,0.12033123,0.272582919,0.0086355,0.892473586,1671.353364
RB22AS2-1-2-2,3.184581213,0.091311377,0.22302808,0.007163575,0.897857997,1691.261517
RB22AS2-1-2-3,4.02658448,0.064865373,0.285444556,0.006421171,0.680854841,1669.032635
RB22AS2-1-2-4,3.124792969,0.106612114,0.221732337,0.007566424,0.893336414,1664.409411
RB22AS2-1-9-1,2.311524912,0.053232543,0.189944909,0.005648556,0.824980272,1396.110846
RB22AS2-1-9-2,2.508279137,0.056103584,0.206536568,0.005512204,0.750744833,1398.694628
RB22AS2-1-9-3,2.510831617,0.159037964,0.197974175,0.008199053,0.807659622,1472.786799
RB22AS2-1-9-4,0.949242765,0.039848079,0.077659309,0.002381658,0.849948434,1393.056115
RB22AS2-1-8-1,0.062503748,0.004892243,0.006209247,0.000121665,0.720237882,1012.310255
RB22AS2-1-8-2,0.078394388,0.008988645,0.006510778,0.000277863,0.591432209,1308.94006
RB22AS2-1-8-3,0.190817304,0.025128907,0.008051621,0.000324876,0.817376826,2485.751182
RB22AS2-1-8-4,0.065054739,0.009972338,0.005869797,0.000120897,0.222217968,1159.165754
RB22AS2-1-7-1,0.54661783,0.056073486,0.040450862,0.00374861,0.979385828,1581.743008
RB22AS2-1-7-2,2.299268277,0.1198744,0.162009444,0.008414527,0.982179362,1684.029677
RB22AS2-1-7-3,2.039173945,0.12736869,0.145180192,0.008853351,0.982080775,1662.137935
RB22AS2-1-7-4,1.428451372,0.156863909,0.101965477,0.010727537,0.993510238,1658.664382
RB22AS2-1-7-5,2.133624703,0.121087615,0.15576288,0.008686792,0.887786635,1635.173907
RB22AS2-1-5-1,3.964779332,0.140855476,0.275805903,0.010018841,0.936042921,1707.175068
RB22AS2-1-5-2,4.091573666,0.063025546,0.287967158,0.003484999,0.835295293,1687.152153
RB22AS2-1-5-3,4.053876311,0.087256135,0.284975195,0.00500221,0.783123323,1688.637624
RB22AS2-1-6-1,0.880320841,0.082745257,0.086309249,0.007445386,0.986273624,1040.588995
RB22AS2-1-6-2,0.512727833,0.031981831,0.048702134,0.00307185,0.956808349,1106.941321
RB22AS2-1-6-3,0.649074648,0.01974866,0.062583385,0.001978846,0.800057095,1087.411655
RB22AS2-1-6-4,0.816746683,0.043056028,0.080592212,0.00396426,0.927494459,1034.361818
RB22AS2-1-6-5,0.885934682,0.029534727,0.084813685,0.002763476,0.899632613,1102.285213
RB22AS2-1-11-1,0.505193105,0.055397887,0.037838759,0.004306087,0.920595781,1555.941499
RB22AS2-1-11-2,0.329130282,0.035854897,0.025863864,0.002376513,0.985896878,1462.151266
RB22AS2-1-11-3,0.266645983,0.022952972,0.020574361,0.001635118,0.893492746,1527.875335
RB22AS2-1-11-4,0.301549299,0.028095837,0.023244893,0.001919834,0.938557869,1509.45471
RB22AS2-1-11-5,0.342041012,0.014890238,0.027132779,0.000976192,0.908149677,1459.619568
RB22AS2-1-11-6,0.183852747,0.006293506,0.014798077,0.00064077,0.548551831,1443.601621
RB22AS2-1-12-1,0.557573609,0.071873779,0.041586992,0.004968193,0.993649861,1559.516802
RB22AS2-1-12-2,3.058413536,0.085996729,0.218564178,0.005116336,0.87636001,1663.084905
RB22AS2-1-12-3,3.7169666,0.065328184,0.261183821,0.004220095,0.833553052,1685.392454
RB22AS2-1-12-4,0.783656771,0.106192374,0.058007752,0.008280908,0.920970526,1589.835783
RB22AS2-1-13-1,1.165110352,0.050172738,0.096715906,0.004167892,0.963429644,1368.879833
RB22AS2-1-13-2,1.832805497,0.071276858,0.153771278,0.006340983,0.966347254,1347.793915
RB22AS2-1-13-3,2.585248363,0.046246491,0.216026847,0.004261478,0.878192977,1358.704715
RB22AS2-1-13-4,2.661619951,0.042545919,0.222361474,0.003246059,0.624290486,1353.245737
RB22AS2-1-13-5,2.272757339,0.04615816,0.185526005,0.003603341,0.83612669,1383.282315
